Hello	Hola
Goodbye	Adiós
See you later	Hasta luego
Yes.	Sí.
No.	No.
Please	Por favor
Excuse me	Perdón
You're welcome. / Not at all.	De nada
It doesn't matter.	No importa.
I'm sorry	Lo siento
I don't understand.	No entiendo
I don't know.	No lo sé.
OK.	Vale
I want / I would like ...	Quiero ...
Thank you very much	Muchas gracias
Thank you	Gracias
before	antes
after	después
left	izquierda
right	derecha
Where is the toilet?	¿Dónde está el servicio?
How much is it?	¿Cuánto es?
How much does it cost?	¿Cuánto cuesta?
What's the time?	¿Qué hora es?
Where is ...? Where are ...?	¿Dónde está ...?    ¿Dónde están ...?
Is there a bank near here?	¿Hay un banco cerca de aquí?
a post office	una oficina de correos
a travel agent's	una agencia de viajes
I don't speak Spanish (very well).	No hablo español (muy bien).
Leave me alone!!!	¡¡¡Déjeme en paz!!!
Can you + (verb)?	¿Puede ...?
Can you wake me up at eight o'clock?	¿Me puede despertar a las ocho?
to ask someone to do something for you	¿Puedo ...? 
Can I sit here?	¿Puedo sentarme aquí?
Do you speak English?	¿Habla inglés?
Please speak slowly.	Hable despacio por favor.
